,name,height_inches,wingspan_inches,relative
742,Jordan Taylor,73.0,75.0,2.0
743,Jeff Taylor,78.0,78.25,0.25
744,Tyshawn Taylor,74.75,78.25,3.5
745,Marquis Teague,73.0,79.25,6.25
746,Hollis Thompson,78.75,81.5,2.75
747,Dion Waiters,74.5,79.25,4.75
748,Royce White,79.0,84.0,5.0
749,Tony Wroten,76.75,81.0,4.25
750,Tyler Zeller,83.25,84.0,0.75
751,Quincy Acy,78.5,86.75,8.25
752,Harrison Barnes,79.0,83.25,4.25
753,Will Barton,77.0,81.75,4.75
754,Bradley Beal,75.25,80.0,4.75
755,J'Covan Brown,73.0,77.25,4.25
756,William Buford,76.0,81.5,5.5
757,Jae Crowder,76.75,81.25,4.5
758,Jared Cunningham,75.5,78.5,3.0
759,Anthony Davis,81.25,89.5,8.25
760,Marcus Denmon,74.25,77.0,2.75
761,Andre Drummond,81.75,90.25,8.5
762,Kim English,76.5,78.5,2.0
763,Festus Ezeli,81.75,89.75,8.0
764,Drew Gordon,80.0,83.5,3.5
765,Draymond Green,77.75,85.25,7.5
766,JaMychal Green,80.0,86.25,6.25
767,Maurice Harkless,79.25,84.0,4.75
768,John Henson,81.0,89.0,8.0
769,Tu Holloway,70.5,77.5,7.0
770,Robbie Hummel,79.25,80.5,1.25
771,Bernard James,80.75,87.0,6.25
772,John Jenkins,75.25,80.5,5.25
773,Orlando Johnson,75.75,83.25,7.5
774,Darius Johnson-Odom,73.5,79.0,5.5
775,Terrence Jones,80.25,86.25,6.0
776,Perry Jones,82.25,85.75,3.5
777,Kevin Jones,78.25,85.5,7.25
778,Kris Joseph,78.0,83.0,5.0
779,Michael Kidd-Gilchrist,77.75,84.0,6.25
780,Jeremy Lamb,76.0,83.0,7.0
